film,prod_team,dir_team,director,camera_team,prod_manage_team,depth,download_timeout,download_slot,download_latency,year,country
Becoming Orgasmic: A Sexual Growth Program for Women,,,Lucy Winer,,,3,180.0,13.33.87.143,0.2703568935394287,  1993,"USA,UK"
Abhayam Thedi,,,I.V. Sasi,,,3,180.0,13.33.87.143,0.14610910415649414,7 February 1986,India
Shame,,,Elwood Perez,,,3,180.0,13.33.87.143,0.13897991180419922,30 June 1983,Philippines
S lyubimymi ne rasstavaytes,,"I. Koleva,Lyubov Nyuzhgirova,Ye. Titova",Pavel Arsyonov,"L. Golubin,A. Kokoreva,S. Sokolov",,3,180.0,13.33.87.143,0.17743897438049316,7 July 1980,"Soviet Union,Hungary"
Coconuts,"Peter Pochlatko,Karl Spiehs,Luggi Waldleitner",Alfred Deutsch,Franz Novotny,"Alexander Dimko,Ernst Mican,Diethard Prengel,Walter Staribacher",,3,180.0,13.33.87.143,0.15383100509643555,January 1985,"Austria,West Germany,Japan"
Bearn o la sala de las muñecas,"Alfredo Matas,Helena Matas",Kuki López Rodero,Jaime Chávarri,Nacho Fernández,,3,180.0,13.33.87.143,0.23927092552185059,14 April 1983,"Spain,USA"
Lev Tolstoy,,Michaela Ridosová,Sergey Gerasimov,,,3,180.0,13.33.87.143,0.33919310569763184,26 October 1984,"Soviet Union,Czechoslovakia,Finland"
Aag Hi Aag,"Neeta Nihalani,Pahlaj Nihalani","Nasim Ahmed,Sikander Bharti,Govind,Kewal Singh,Sudhir",Shibu Mitra,,,3,180.0,13.33.87.143,0.09729504585266113,3 April 1987,India
Bobbili Puli,Vadde Ramesh,,Narayana Rao Dasari,,,3,180.0,13.33.87.143,0.1284012794494629,,
Fact,,,Almantas Grikevicius,,,3,180.0,13.33.87.143,0.3865530490875244,May 1981,"France,Soviet Union,Poland"
The Iron Hand of the Mafia,"Enrico Santini,Nino Vendetti",Pierpaolo Lubrani,Roberto Girometti,"Marcello Anconetani,Giovanni Brescini,Firmino Palmieri",,3,180.0,13.33.87.143,0.14075183868408203,,
Ça va faire mal,,"Jean-Jacques Albert,Pascal Chaumeil",Jean-François Davy,"Evelyne Bensabat,Jean-François Drigeard,Patrice Guillou,Gérard Monceau,Jean-Paul Sergent,Philippe Théaudière,Jacques Vigier",,3,180.0,13.33.87.143,0.19472837448120117,21 July 1982,France
El caso Almería,"José María Cunillés,Isabel Mulá","Federico Canudas,Tony Ochoa",Pedro Costa,"Julio Madurga,Carlos Miguel,Antonio Mulá,Ramón Perdiguero,Fulgencio Rodríguez,Miguel Ángel Rodríguez",,3,180.0,13.33.87.143,0.1591799259185791,26 January 1984,Spain
Los embarazados,,,Joaquín Coll Espona,Josep M. Civit,,3,180.0,13.33.87.143,0.17023587226867676,29 March 1982,Spain
Lontano da dove,"Giuseppe Auriemma,Renzo Rossellini,Sandro Silvestri","Claudio Bernabei,Harvey Waldman","Stefania Casini,Francesca Marciano","Alberto Altibrandi,Mario Massaccesi,Giancarlo Mereschini,William Moore,Agostino Pascarella,Mike Reed,Stefano Ricciotti,Botto Ruggero",,3,180.0,13.33.87.143,0.14348268508911133,7 September 1983,"Italy,Italy"
Init sa magdamag,"Vic del Rosario Jr.,Tony Gloria,Ramon Salvador",Santiago Garcia,Laurice Guillen,"Charlie Peralta,Delfin Teope,Danny Viray",,3,180.0,13.33.87.143,0.15233516693115234,22 September 1983,"Philippines,France"
"Pleasure Campus, Secret Games",Akira Miura,Yasuaki Uegaki,Tatsumi Kumashiro,,,3,180.0,13.33.87.143,0.18915605545043945,21 November 1980,Japan
Manushya Mrugam,,,Baby,,,3,180.0,13.33.87.143,0.15959811210632324,,
Weiße Reise,,,Werner Schroeter,,,3,180.0,13.33.87.143,0.16961002349853516,6 February 1981,Portugal
Se tutto va bene siamo rovinati,,"Giuseppe Giglietti,Massimo Manasse",Sergio Martino,Salvatore Alessi,,3,180.0,13.33.87.143,0.19066286087036133,,
Akutoku no sakae,Hidehiro Ito,Tsugumi Kitaura,Akio Jissôji,Kenji Ushiba,,3,180.0,13.33.87.143,0.15644288063049316,27 August 1988,Japan
Mera Shikar,B. Lachman,,Keshu Ramsay,,,3,180.0,13.33.87.143,0.18409490585327148,,
Traveller,"Joe Comerford,Margaret Williams",,Joe Comerford,,,3,180.0,13.33.87.143,0.1666100025177002,18 September 1983,Portugal
El amor de mi vida,,,Joselito Rodríguez,,,3,180.0,13.33.87.143,0.14549779891967773,25 October 1979,Mexico
Anego,Tan Takaiwa,,Ryuichi Takamori,,,3,180.0,13.33.87.143,0.18502283096313477,9 November 1988,Japan
Sheng dan kuai le,,"Yat-Hung Chu,Wen-Hung Min",Clifton Ko,"Lik-Hang Chan,Yiu-San Kung,Sander Lee,Wai-Tong Leung,Ging-Jiu Lo,Tsou Lin Ou",,3,180.0,13.33.87.143,0.13686013221740723,12 December 1984,Hong Kong
Retreads,,Mary Tallman,James Connell,,,3,180.0,13.33.87.143,0.12887024879455566,,
Zivi bili pa vidjeli,,Hrvoje Horvatic,"Bruno Gamulin,Milivoj Puhlovski",Zoran Veselic,,3,180.0,13.33.87.143,0.1437990665435791,18 April 1979,"Yugoslavia,East Germany,Hungary"
Milan noir,"Eric Dussart,Antoine Gannagé,Chantal Perrin",,Ronald Chammah,,,3,180.0,13.33.87.143,0.18549299240112305,17 September 1988,"Canada,France"
Not Since Casanova,"Peter Becronis,Peter Iovino,Bradford Owen,Robert W. Sloat,Brett Thompson",,Brett Thompson,"Steven Howell,Birgit Kersting",,3,180.0,13.33.87.143,0.18318390846252441,,
Vasantha Ragam,Shoba Chandrasekhar,,S.A. Chandrashekhar,,,3,180.0,13.33.87.143,0.12342596054077148,,
Vahsi kan,Mehmet Karahafiz,,Çetin Inanç,,,3,180.0,13.33.87.143,0.18212413787841797,  1983,Turkey
Mere Baad,Vishwamitra,,Vishwamitra,,,3,180.0,13.33.87.143,0.18787670135498047,  1988,India
Mahananda,,,Mohan Kavia,,,3,180.0,13.33.87.143,0.1583249568939209,1 January 1987,India
Ragile Gundelu,Mohan Babu,,P. Chandrasekhara Reddy,,,3,180.0,13.33.87.143,0.1269059181213379,,
Maa Pallelo Gopaludu,Gopala Reddy S.,,Kodi Ramakrishna,,,3,180.0,13.33.87.143,0.15161871910095215,  1985,India
Meet the Applegates,"Denise Di Novi,Iya Labunka,Christopher Webster,Steve White","Joe Camp III,Jeffrey F. January,Michael McCue,Mike Topoozian",Michael Lehmann,"Mitchell Amundsen,Deirdre Arbucci,John Burch,Rebecca Burr,Jim Campana,Dante Cardone,Kevin Chickanis,Henry Cline,Charles Cooke,Stuart Cropley,Ric Delgado,Al DeMayo,Vincent Donohue,David Dubois,Paul D. Fischer,Kevin 'Rambo' Fitzgerald,Tim Forrest,Robert Gersiloff,Dave Gillen,Khan Griffith,Pascal M. Guillemard,Edward A. Gutentag,John Halligan,Jan M. Heyneker,Craig Horwitz,Ian Kincaid,Kim Kono,Victor Korte,Jesse Mather,Larry McConkey,Darin McDaniel,Ivan H. Migel,Randy Nolen,Michael Paris,Bruce M. Pasternack,Michael G. Riba,Steve Ruzic,Charles M. Smallwood,Michael Stocks,Todd Thorpe,Tony Tucker,Fred Vicarel,Thaddeus Wadleigh",,3,180.0,13.33.87.143,0.15213990211486816,8 November 1990,"Australia,Germany,Argentina,USA,UK,Japan,Peru"
Basket Case 3,"James Glickenhaus,Edgar Ievins","Matt Maiellaro,Christopher Mills",Frank Henenlotter,"Stephen Crocker,Guy D'Alema,Bret Lanius,Greg Morse",,3,180.0,13.33.87.143,0.20305299758911133,October 1991,"Italy,USA,Germany,Argentina,Japan,Spain"
I Got the Hook Up,"M. Cevin Cathell,Leroy Douglas,Jonathan Heuer,Stevie 'Black' Lockett,Master P,Andrew Shack,Bryan Turner","Gregory M. Alexander,Amy Armstrong,Rodney Barnes,Sam Bill,David Cogan,Amanda Le Flore,Nicholas Lee,Mark Anthony Little,Ayal Moreno",Michael Martin,"Rick Avotte,Roy Carleton,Jeff Chassler,Collin S. Colberg,Bill Colino,Russ I. Conklin,C.E. Courtney,Matthew Cozier,Michelle Crenshaw,Paola Cresti,Mechelle Dondo,Andrew Dumas,Chris Estes,Dawn Fleischman,Steve Gainer,Kim Guthrie,Jay Hager,Chip Hart,Paul Helling,Jerry Hill,Strati Hovaortos,Mark Karen,Mary Kasparian,Christopher Kiso,Steven Kocrarsky,Jacob I. Lapin,Patrick Loungway,Christopher Lucchese,Robert Magnano,Ken Metz,Donovan Milcoch,Jorn Ottina,Amy Reffecker,Paul Reyes,Edwin Schiernecker,James Scott,Christian Franz Staab,Eduardo Szyszlican,Joseph Thompson,Phillip Webber,Derek Wells,Greg Williams,John Wittman,Mark Wojciechowski",,3,180.0,13.33.87.143,0.11841297149658203,27 May 1998,"USA,UK,Iceland,Germany,Spain"
