film,prod_team,dir_team,director,camera_team,prod_manage_team,depth,download_timeout,download_slot,download_latency,year,country
Mater amatísima,Jaume Peracaula,"Ferran Costa,Juan Fernández,Celestí Marbà,Jordi Sangenís",J.A. Salgot,"Leonardo Bronstein,Celestí Marbà",,3,180.0,13.33.87.143,0.16195297241210938,19 May 1980,"Spain,Spain,Sweden,France,USA"
The Imp,,,Helle Karis,,,3,180.0,13.33.87.143,0.16924190521240234,16 March 1981,"Estonia,Estonia,Estonia"
Namkeen,M. Sampat,"Dilip Kotalgi,Vinod Nayak",Gulzar,,,3,180.0,13.33.87.143,0.15342426300048828,,
Dakota,James W. Wrenn,"Steve C. Aaron,Stacy Brownrigg,Doug Bryan,John Carey,Jana Carroll,Darrell Henke,Perry Robertson,Jeff Timbs,Byron Wilson",Fred Holmes,"Sandy Bromley,Kim Davis,Alma Kuttruff",,3,180.0,13.33.87.143,0.42791199684143066,2 December 1988,"USA,Japan,Finland"
Saajan Ki Saheli,K.H. Kapadia,"Anand,Franky D'Lima,Ajit Das,Kishore Kapadia,Raymond",Saawan Kumar Tak,"Venkatesh Naik,R.P. Patwardhan,G.M. Rao",,3,180.0,13.33.87.143,0.17128515243530273,30 January 1981,India
Shackin' Up,Linda Schreyer,,Simon Nuchtern,Colleen Atwood,,3,180.0,13.33.87.143,0.1725020408630371,March 1984,"USA,Colombia,France,Finland,West Germany,Australia,Portugal,Norway"
Shahenshah,"Amar Biswas,Utpal Biswas","Haroon Mistry,Ravi Sanyal",Tinnu Anand,"Kishore Bajaj,Chandrakant,S.T. Kotian,Hemant Pandya,Varadkar",,3,180.0,13.33.87.143,0.181441068649292,12 February 1988,India
Pushpak,V.S. Narasimhan,,Singeetam Srinivasa Rao,,,3,180.0,13.33.87.143,0.14047884941101074,10 September 1987,India
Chiquidrácula,"Alex Agrasanchez,Rogelio Agrasánchez",,Julio Aldama,,,3,180.0,13.33.87.143,0.11725687980651855,  2012,Mexico
Stranded,Stacy Widelitz,Stuart Land,Fleming B. Fuller,Steve Schoenberg,,3,180.0,13.33.87.143,0.18183112144470215,20 November 1987,"USA,France,Italy,Philippines,Hong Kong,Australia"
Manzil,K.K. Mahajan,,Basu Chatterjee,,,3,180.0,13.33.87.143,0.14608097076416016,28 September 1979,India
